2025-09-21 16:35:19 | INFO | app.core.logging_config | Logging initialised. Session file: logs\session-20250921-163519.log
2025-09-21 16:35:19 | INFO | harmonycast.app | Application startup. Logging to logs\session-20250921-163519.log
2025-09-21 16:35:19 | INFO | harmonycast.app | FastAPI startup event triggered
2025-09-21 16:35:19 | INFO | harmonycast.listeners | Listener snapshot task started interval=3.0s
2025-09-21 16:35:23 | INFO | harmonycast.app | Host connected id=f65e4299-8755-4608-8929-e70a3e86f655 ip=25.4.68.162
2025-09-21 16:35:25 | INFO | harmonycast.app | Client connected id=862639cc-6ff3-458a-aa7b-47368ab2dde5 ip=25.4.68.162
2025-09-21 16:35:29 | INFO | harmonycast.app | Client 862639cc-6ff3-458a-aa7b-47368ab2dde5 disconnected
2025-09-21 16:35:29 | INFO | harmonycast.listeners | Client disconnected id=862639cc-6ff3-458a-aa7b-47368ab2dde5 ip=25.4.68.162
2025-09-21 16:35:30 | INFO | harmonycast.app | Client connected id=0275c664-6873-4b11-9eb6-3a997c8618a8 ip=25.4.68.162
2025-09-21 16:35:51 | INFO | harmonycast.app | Fetching metadata for video_id=-z77ikRecGI
2025-09-21 16:35:52 | INFO | harmonycast.app | Broadcasting host update video_id=-z77ikRecGI playing=False position=0.00 volume=80
2025-09-21 16:35:53 | INFO | harmonycast.app | Broadcasting host update video_id=-z77ikRecGI playing=False position=0.00 volume=80
2025-09-21 16:35:54 | INFO | harmonycast.app | Broadcasting host update video_id=-z77ikRecGI playing=True position=0.00 volume=80
2025-09-21 16:35:54 | INFO | harmonycast.app | Broadcasting host update video_id=-z77ikRecGI playing=True position=0.10 volume=80
2025-09-21 16:35:56 | INFO | harmonycast.app | Broadcasting host update video_id=-z77ikRecGI playing=True position=1.29 volume=80
2025-09-21 16:35:57 | INFO | harmonycast.app | Broadcasting host update video_id=-z77ikRecGI playing=True position=2.31 volume=80
2025-09-21 16:35:58 | INFO | harmonycast.app | Broadcasting host update video_id=-z77ikRecGI playing=True position=3.33 volume=80
2025-09-21 16:35:59 | INFO | harmonycast.app | Broadcasting host update video_id=-z77ikRecGI playing=True position=4.35 volume=80
2025-09-21 16:36:00 | INFO | harmonycast.app | Broadcasting host update video_id=-z77ikRecGI playing=True position=5.37 volume=80
2025-09-21 16:36:01 | INFO | harmonycast.app | Broadcasting host update video_id=-z77ikRecGI playing=True position=6.40 volume=80
2025-09-21 16:36:02 | INFO | harmonycast.app | Broadcasting host update video_id=-z77ikRecGI playing=True position=7.43 volume=80
2025-09-21 16:36:03 | INFO | harmonycast.app | Broadcasting host update video_id=-z77ikRecGI playing=True position=8.48 volume=80
2025-09-21 16:36:04 | INFO | harmonycast.app | Broadcasting host update video_id=-z77ikRecGI playing=True position=9.49 volume=80
2025-09-21 16:36:05 | INFO | harmonycast.app | Broadcasting host update video_id=-z77ikRecGI playing=True position=10.54 volume=80
2025-09-21 16:36:05 | INFO | harmonycast.app | Broadcasting host update video_id=-z77ikRecGI playing=False position=11.18 volume=80
2025-09-21 17:20:40 | INFO | harmonycast.app | Client 0275c664-6873-4b11-9eb6-3a997c8618a8 disconnected
2025-09-21 17:20:40 | INFO | harmonycast.listeners | Client disconnected id=0275c664-6873-4b11-9eb6-3a997c8618a8 ip=25.4.68.162
2025-09-21 17:22:11 | INFO | harmonycast.app | Host f65e4299-8755-4608-8929-e70a3e86f655 disconnected
2025-09-21 17:22:11 | INFO | harmonycast.listeners | Host disconnected id=f65e4299-8755-4608-8929-e70a3e86f655 ip=25.4.68.162
2025-09-21 17:22:11 | INFO | harmonycast.app | Host connected id=c1849c0c-9812-43bb-8501-d0bfa5bdde4a ip=25.4.68.162
2025-09-21 17:22:34 | INFO | harmonycast.app | Broadcasting host update video_id=-z77ikRecGI playing=True position=11.18 volume=80
2025-09-21 17:22:35 | INFO | harmonycast.app | Broadcasting host update video_id=-z77ikRecGI playing=True position=11.54 volume=80
2025-09-21 17:22:36 | INFO | harmonycast.app | Broadcasting host update video_id=-z77ikRecGI playing=True position=12.59 volume=80
2025-09-21 17:22:37 | INFO | harmonycast.app | Broadcasting host update video_id=-z77ikRecGI playing=True position=13.63 volume=80
2025-09-21 17:22:38 | INFO | harmonycast.app | Broadcasting host update video_id=-z77ikRecGI playing=True position=14.64 volume=80
2025-09-21 17:22:39 | INFO | harmonycast.app | Broadcasting host update video_id=-z77ikRecGI playing=True position=15.69 volume=80
2025-09-21 17:22:40 | INFO | harmonycast.app | Broadcasting host update video_id=-z77ikRecGI playing=True position=16.69 volume=80
2025-09-21 17:22:41 | INFO | harmonycast.app | Broadcasting host update video_id=-z77ikRecGI playing=True position=17.73 volume=80
2025-09-21 17:22:42 | INFO | harmonycast.app | Broadcasting host update video_id=-z77ikRecGI playing=True position=18.75 volume=80
2025-09-21 17:22:43 | INFO | harmonycast.app | Broadcasting host update video_id=-z77ikRecGI playing=True position=19.75 volume=80
2025-09-21 17:22:44 | INFO | harmonycast.app | Broadcasting host update video_id=-z77ikRecGI playing=True position=20.78 volume=80
2025-09-21 17:22:45 | INFO | harmonycast.app | Broadcasting host update video_id=-z77ikRecGI playing=True position=21.89 volume=80
2025-09-21 17:22:46 | INFO | harmonycast.app | Broadcasting host update video_id=-z77ikRecGI playing=True position=22.90 volume=80
2025-09-21 17:22:47 | INFO | harmonycast.app | Broadcasting host update video_id=-z77ikRecGI playing=True position=23.90 volume=80
2025-09-21 17:22:48 | INFO | harmonycast.app | Client connected id=339b3d95-e797-4821-8aec-fb9e2cfdb81e ip=25.4.68.162
2025-09-21 17:22:48 | INFO | harmonycast.app | Broadcasting host update video_id=-z77ikRecGI playing=True position=24.92 volume=80
2025-09-21 17:22:49 | INFO | harmonycast.app | Broadcasting host update video_id=-z77ikRecGI playing=True position=25.92 volume=80
2025-09-21 17:22:51 | INFO | harmonycast.app | Broadcasting host update video_id=-z77ikRecGI playing=True position=27.33 volume=80
2025-09-21 17:22:52 | INFO | harmonycast.app | Broadcasting host update video_id=-z77ikRecGI playing=True position=28.36 volume=80
2025-09-21 17:22:52 | INFO | harmonycast.app | Broadcasting host update video_id=-z77ikRecGI playing=True position=28.54 volume=80
2025-09-21 17:22:52 | INFO | harmonycast.app | Broadcasting host update video_id=-z77ikRecGI playing=False position=28.98 volume=80
2025-09-21 17:22:53 | INFO | harmonycast.app | Broadcasting host update video_id=-z77ikRecGI playing=False position=28.97 volume=80
2025-09-21 17:22:55 | INFO | harmonycast.app | Broadcasting host update video_id=-z77ikRecGI playing=False position=28.97 volume=80
2025-09-21 17:22:56 | INFO | harmonycast.app | Broadcasting host update video_id=-z77ikRecGI playing=True position=28.97 volume=80
2025-09-21 17:22:57 | INFO | harmonycast.app | Broadcasting host update video_id=-z77ikRecGI playing=True position=29.75 volume=80
2025-09-21 17:22:58 | INFO | harmonycast.app | Broadcasting host update video_id=-z77ikRecGI playing=True position=30.99 volume=80
2025-09-21 17:22:59 | INFO | harmonycast.app | Broadcasting host update video_id=-z77ikRecGI playing=True position=32.04 volume=80
